owh ya maaf ga usah pake hadeuh bisa mereuuuun he,owh ya maaf ga usah pake hadeuh bisa mereuuuun he,netral,Kawah Putih
"saya 2 November kemarin kesana bang surut,,",saya november kemarin kesana bang surut,netral,Gunung Puntang
"liat aja di vt ane bang yg di sematin, itu biasanya penuh sama air kemarin bisa pake jalan disana",liat aja di vt ane bang yg di sematin itu biasanya penuh sama air kemarin bisa pake jalan disana,netral,Ranca Upas
Bjir gagal,bjir gagal,negatif,Gunung Puntang
"iya aku terakhir kesana juga gtu, tp pas 2022 tahun lalu ujan mulu bandung malah bgus ko🥺",iya aku terakhir kesana juga gtu tp pas tahun lalu ujan mulu bandung malah bgus ko,netral,Situ Patenggang
emang iya apa. tanda2nya kemarau 3 tahun?,emang iya apa tandanya kemarau tahun,netral,Kawah Putih
sekarang udh gk suruh teh,sekarang udh gk suruh teh,netral,Gunung Puntang
aku pas taun baru 2024 kesitu tuh keringg bett bejirr,aku pas taun baru kesitu tuh keringg bett bejirr,netral,Kawah Putih
"skrg mh udh ngga kyknya, itu kn thun 2023",skrg mh udh ngga kyknya itu kn thun,netral,Ranca Upas
"sama kak😃, alhamdulillah. kalau SMP waktu itu kering juga sakit sii aku jauh dari jombang ke Bandung tuu effort bngt😭",sama kak alhamdulillah kalau smp waktu itu kering juga sakit sii aku jauh dari jombang ke bandung tuu effort bngt,netral,Glamping Lakeside
Hi akak pergi waktu bila?,hi akak pergi waktu bila,netral,Gunung Puntang
"iya mahal banget skrg, udah gitu sampe sana full org, gak bs ambil spot foto, rada nyesek sih😁😁",iya mahal banget skrg udah gitu sampe sana full org gak bs ambil spot foto rada nyesek sih,negatif,Gunung Puntang
Emang brpa tiket masuk nya sekarang ka?,emang brpa tiket masuk nya sekarang ka,netral,Kawah Putih
"Heem harusnya kasih tau kondisi kawah sama pengelola, jd pengunjung gakan kecewa. Ini mah kejar target duit yg penting masuk",heem harusnya kasih tau kondisi kawah sama pengelola jd pengunjung gakan kecewa ini mah kejar target duit yg penting masuk,negatif,Situ Patenggang
"kapok kesitu, diajak suami ke Bandung ajakin Ciwidey sama tangkuban perahu, mending di tangkuban perahunya aku betah🤣😭",kapok kesitu diajak suami ke bandung ajakin ciwidey sama tangkuban perahu mending di tangkuban perahunya aku betah,negatif,Ranca Upas
untung ke situ pas blum kering2 bngt😁😁,untung ke situ pas blum kering bngt,netral,Gunung Puntang
"Sy jg heran mahal bgt , apa yg bikin mahal sih , udh 2x kesana peraan B aja 🙄",sy jg heran mahal bgt apa yg bikin mahal sih udh x kesana peraan b aja,negatif,Glamping Lakeside
bikin sesak nafas engap bau belerang😭 foto dikit terus keluar abis minum satu botol🤣,bikin sesak nafas engap bau belerang foto dikit terus keluar abis minum satu botol,negatif,Kawah Putih
"Aku kemarin 72 rb kak include ontang anting, parkir motor dan titip helm",aku kemarin rb kak include ontang anting parkir motor dan titip helm,netral,Gunung Puntang
Tp pake mobil sndiri kdg ga kuat nanjak kak mobilnya,tp pake mobil sndiri kdg ga kuat nanjak kak mobilnya,netral,Situ Patenggang
"kalo tiket sih g masalah mahal karena worth it tapi kang foto""nya yang g worth it 😭🤣",kalo tiket sih g masalah mahal karena worth it tapi kang fotonya yang g worth it,negatif,Gunung Puntang
terakhir 60 RB THN 2015 😂,terakhir rb thn,netral,Gunung Puntang
72rb 1 orgnya ?buset mahal ,72rb orgnya? buset mahal,negatif,Glamping Lakeside
"iya😂 gak worth kalo naik mobil pribadi, ngeri mobil rusak, mending naik angkot ke atasnya",iya gak worth kalo naik mobil pribadi ngeri mobil rusak mending naik angkot ke atasnya,negatif,Ranca Upas
makasih kak informasi nya 🙏,makasih kak informasi nya,netral,Gunung Puntang
Kang fotonya pd maksa😭 kalo mau foto spot ke jembatan nya itu mesti byr lagi😂,kang fotonya pd maksa kalo mau foto spot ke jembatan nya itu mesti byr lagi,netral,Ranca Upas
bener gw Ampe kaget pas LG beli tiket,bener gw ampe kaget pas lg beli tiket,netral,Ranca Upas
"Iya bnr tahun lalu wktu honeymoon melipir ksn sblm pulng, foto2nya jg mahal cm tukng nya agak maksa😫",iya bnr tahun lalu wktu honeymoon melipir ksn sblm pulng fotonya jg mahal cm tukng nya agak maksa,negatif,Gunung Puntang
"medannya memang lumayan ya, udah nikung tajam trus nanjak. yg kurang paham medan, pasti ga berani bejek gas",medannya memang lumayan ya udah nikung tajam trus nanjak yg kurang paham medan pasti ga berani bejek gas,netral,Gunung Puntang
"kmarin ikut open trip murah ges, 300k 3 tempat kawah puth, ranca upas, resto kapal pinisi dari jkt bandung, berikut trasport",kmarin ikut open trip murah ges k tempat kawah puth ranca upas resto kapal pinisi dari jkt bandung berikut trasport,netral,Ranca Upas
kawah Rengganis aja,kawah rengganis aja,netral,Kawah Putih
"Mobilnya aja Rp 152.000, Rp 28.000/Orang, Klo Ikut Mobil Ontang-anting PP Rp 60.000.
Terakhir ke sana Bulan July 2023, Blm surut cmn udara Panas.",mobilnya aja rp rp orang klo ikut mobil ontanganting pp rp terakhir ke sana bulan july blm surut cmn udara panas,netral,Gunung Puntang
aku 148 minggu kmrin hari rabu kak 😔,aku minggu kmrin hari rabu kak,netral,Kawah Putih
"gaada refund kah kak, sedihh jauhjauh ksana masa kering 😭",gaada refund kah kak sedihh jauhjauh ksana masa kering,netral,Ranca Upas
SAMA AKU JG GA ADA DI INFOIN,sama aku jg ga ada di infoin,negatif,Gunung Puntang
wkwkkw mana mayan masuknya,wkwkkw mana mayan masuknya,negatif,Ranca Upas
gak dapat duit dong . nanti orang gak mau datang,gak dapat duit dong nanti orang gak mau datang,negatif,Glamping Lakeside
Pas kpn kak kesitu?🥺aku niat mau kesitu,pas kpn kak kesituaku niat mau kesitu,positif,Ranca Upas
kak emg ga di infoin yah sama penjaga nya kalo lagi kering kerontang begini😭,kak emg ga di infoin yah sama penjaga nya kalo lagi kering kerontang begini,netral,Kawah Putih
nha bsa gtu😭,nha bsa gtu,negatif,Gunung Puntang
"kalo pas desemberan biasanya ga kering ka,aku oktober kesana emang lagi kering,pas desember (musim ujan) airnya penuh ko",kalo pas desemberan biasanya ga kering kaaku oktober kesana emang lagi keringpas desember musim ujan airnya penuh ko,netral,Ranca Upas
Dari bekasi mau kebandung ga jadi dulu deh kalo gt wkwkw,dari bekasi mau kebandung ga jadi dulu deh kalo gt wkwkw,netral,Kawah Putih
"Iyaa bener juga ya, Oke kak makasih banyak info nya hehe",iyaa bener juga ya oke kak makasih banyak info nya hehe,netral,Gunung Puntang
"ontang anting itu apa kak,maaf g tw bnrn",ontang anting itu apa kakmaaf g tw bnrn,netral,Glamping Lakeside
aku 127 ber2,aku 127 ber2 mahalnyoo,negatif,Gunung Puntang
orang Ciwidey kebanyakan belum pernah ke kawah putih ini udah pernah ngeluhhhh wkwkw,orang ciwidey kebanyakan belum pernah ke kawah putih ini udah pernah ngeluhhhh wkwkw,netral,Kawah Putih
"kok mahal ya, beda jauh ama kawah sikidang yng harga tiketnya cuma 20 rb",kok mahal ya beda jauh ama kawah sikidang yng harga tiketnya cuma rb,negatif,Glamping Lakeside
tunggu musim hujan ka skrng bandung panas sekali hujannya juga jarang,tunggu musim hujan ka skrng bandung panas sekali hujannya juga jarang,netral,Situ Patenggang
ibarat udh baper malah di ghosting ya sama awan mendung😭😂🙏,ibarat udh baper malah di ghosting ya sama awan mendung,negatif,Kawah Putih
beda langit kynya kak. dr kmrn daerah pasteur hujan gede sdgkn bandung timur panas mentrang hareudang 😭,beda langit kynya kak dr kmrn daerah pasteur hujan gede sdgkn bandung timur panas mentrang hareudang,netral,Glamping Lakeside
pondok petir depok x wakk,pondok petir depok x wakk,netral,Glamping Lakeside
bberapa hari ini memang sudah mulai hujan terus ka minggu lalu masih panas malah di tempat aku di lain hujan di daerah aku cuma gerimis,bberapa hari ini memang sudah mulai hujan terus ka minggu lalu masih panas malah di tempat aku di lain hujan di daerah aku cuma gerimis,netral,Gunung Puntang
sekarang udh musim hujan ga kak di bandung,sekarang udh musim hujan ga kak di bandung,netral,Situ Patenggang
"sudah musim hujan kak sekarang pasti sudah bagus kawah putihnya, selamat berkunjung 😁",sudah musim hujan kak sekarang pasti sudah bagus kawah putihnya selamat berkunjung,positif,Kawah Putih
tgal 29 oktober 2023 baru kesana dan bener2 kering airnya,tgal oktober baru kesana dan bener kering airnya,netral,Situ Patenggang
realita yg skrng mba aku Bru kesana Minggu kemaren,realita yg skrng mba aku bru kesana minggu kemaren,netral,Kawah Putih
"aku baru kesana ka hari kamis minggu lalu emang begini, kering banget😢 tapi sunsetnya bagus puollll",aku baru kesana ka hari kamis minggu lalu emang begini kering banget tapi sunsetnya bagus puollll,positif,Kawah Putih
"parkir mobil plus naik,masuk kawah putih sama naik ontang anting 186 ribu",parkir mobil plus naikmasuk kawah putih sama naik ontang anting ribu,netral,Kawah Putih
"tanggal 27 Oktober aku kesana bgitu kak, tiketnya juga lumayan 😂",tanggal oktober aku kesana bgitu kak tiketnya juga lumayan,netral,Ranca Upas
pending ja ka drpd sayang mahal tp keadaannya lg gitu😭😁,pending ja ka drpd sayang mahal tp keadaannya lg gitu,negatif,Glamping Lakeside
Cari temen ketemu di stasiun bandung ke kwh putih kalo gk kamis jumaat tgl 10/11juli 2025,cari temen ketemu di stasiun bandung ke kwh putih kalo gk kamis jumaat tgl juli,netral,Gunung Puntang
"pernah ke kawah putih Ciwidey sblm covid tiket masuknya mahal ,mobil aja 250,blm tiket perorangan di atas , walaupun bolak balik ke Ciwidey ke kawahnya cuma sekali mahal tiketnya",pernah ke kawah putih ciwidey sblm covid tiket masuknya mahal mobil aja blm tiket perorangan di atas walaupun bolak balik ke ciwidey ke kawahnya cuma sekali mahal tiketnya,negatif,Kawah Putih
KANG DEDI INI KENAPA YA MASUK NYA MAHAL BANGET 😭,kang dedi ini kenapa ya masuk nya mahal banget,negatif,Glamping Lakeside
besok rencana mau ke kawah putih apa masih kering ya,besok rencana mau ke kawah putih apa masih kering ya,netral,Kawah Putih
cari barengan cowo/cewe ayo dr jkt tgl 25/30 april bebas,cari barengan cowocewe ayo dr jkt tgl april bebas,netral,Situ Patenggang
kering gitu makanya coba ambil tanah belerang kawahnya itu yang kering,kering gitu makanya coba ambil tanah belerang kawahnya itu yang kering,netral,Situ Patenggang
KAWAH IJEN AJAA,kawah ijen ajaa,negatif,Kawah Putih
Pas aku kesitu gak kering kak plingan ada yng kring sm yng ada air ny,pas aku kesitu gak kering kak plingan ada yng kring sm yng ada air ny,netral,Ranca Upas
aku minggu kmren kesana air nya kering 😁,aku minggu kmren kesana air nya kering,netral,Situ Patenggang
ouu ternyata air nya ga dalam yaa,ouu ternyata air nya ga dalam yaa,netral,Kawah Putih
Cocok bang,cocok bang,positif,Kawah Putih
p masih surut ga nih guyssss,p masih surut ga nih guyssss,netral,Glamping Lakeside
sekarang udah ngga surut lagii tauu,sekarang udah ngga surut lagii tauu,netral,Glamping Lakeside
tapi surut sebelahh💅,tapi surut sebelahh,netral,Kawah Putih
kmaren gw kesitu bagus view nya❤️,kmaren gw kesitu bagus view nya,positif,Situ Patenggang
waduh sugan th hnte nepi KA viral kie ani😂,waduh sugan th hnte nepi ka viral kie ani,netral,Kawah Putih
lah aku ke sini jauh2 dr padang malah hujan badai. ga bisa foto2 😭,lah aku ke sini jauh dr padang malah hujan badai ga bisa foto,netral,Gunung Puntang
Haha gua kesana kering merontang kek gini,haha gua kesana kering merontang kek gini,netral,Kawah Putih
yah rencana mau kesana taun baru(,yah rencana mau kesana taun baru,netral,Ranca Upas
tgl 16 des kesana sedih nyusut airnya udh mahal masuknya gak sesuai ekspektasi tapi gak pa pa buat pengalaman😁👍,tgl des kesana sedih nyusut airnya udh mahal masuknya gak sesuai ekspektasi tapi gak pa pa buat pengalaman,negatif,Glamping Lakeside
"minggu kmren kesitu,lumayan lah ada",minggu kmren kesitulumayan lah ada,netral,Situ Patenggang
itu Dateng nya kapan ka,itu dateng nya kapan ka,netral,Situ Patenggang
bulan September kemaren tahun ini sya kesana itu tiket masuk ny 3 orng dewasa smaaa mbl kena hampir 200 lebih dah klo g salah emng mahal masuk ny,bulan september kemaren tahun ini sya kesana itu tiket masuk ny orng dewasa smaaa mbl kena hampir lebih dah klo g salah emng mahal masuk ny,negatif,Ranca Upas
nah kn iya ka..pkok ny yg aku ingt smpe d dbatin ps bli krcis y itu mobil prbdi msuk byr 150 1 mbil blm orng ny😭😭😭 .. y sm sktr 200n krn aku brtiga,nah kn iya kapkok ny yg aku ingt smpe d dbatin ps bli krcis y itu mobil prbdi msuk byr mbil blm orng ny y sm sktr n krn aku brtiga,netral,Kawah Putih
aq thn kmaren bwa mobil orng 3 kna 250rb,aq thn kmaren bwa mobil orng 3 kna 250rb,netral,Glamping Lakeside
Iyaa betul . Aku kmren berdua sma suami mobil pribadi 220,iyaa betul aku kmren berdua sma suami mobil pribadi,netral,Kawah Putih
ud termasuk naik odong2 na blum? 😅,ud termasuk naik odong na blum,netral,Glamping Lakeside
kmrn Sept 2023 aku bw mobil hbs 200an masuknya🤣,kmrn sept aku bw mobil hbs an masuknya,netral,Glamping Lakeside
awal oktober saya kesana 168k ber2 naik mobil dari sananya ka. Gatau kalo bawa kendaraan sendiri,awal oktober saya kesana k ber naik mobil dari sananya ka gatau kalo bawa kendaraan sendiri,netral,Gunung Puntang
"baru 1 minggu yg lalu ke sana 2 dewasa 2 anak anak bayar 247rb , bawa mobil sendiri ke atas. gak sesuai ekspentasi bgt. 🥺🥺",baru minggu yg lalu ke sana dewasa anak anak bayar rb bawa mobil sendiri ke atas gak sesuai ekspentasi bgt,netral,Ranca Upas
iya kak aku jg segituan😂,iya kak aku jg segituan,netral,Ranca Upas
aqu plh ujann😭..jd sm j jg g bsa fto2 fto burem brkbut...n sbntr bgt smpe d loksi stngh 3 jam stngh 5 pa jm 4 dtutup gtu...,aqu plh ujannjd sm j jg g bsa fto fto burem brkbutn sbntr bgt smpe d loksi stngh jam stngh pa jm dtutup gtu,netral,Glamping Lakeside
"kapok bgt kak🤣🤣 sama jg waktu itu lg kering, ada airnya tp dikit",kapok bgt kak sama jg waktu itu lg kering ada airnya tp dikit,negatif,Kawah Putih
aq suami sm ank ku umur 4th,aq suami sm ank ku umur th,netral,Glamping Lakeside
200lbh ky 200-250 lpa orng ny kna hrg brp...yg ingt mbil ny j...,lbh ky lpa orng ny kna hrg brpyg ingt mbil ny j,netral,Gunung Puntang
"mahal bgt kak, pantes aja th lalu ak mau minta doi main kesini. tp sm dia malah di bawa ke Pangalengan 😭",mahal bgt kak pantes aja th lalu ak mau minta doi main kesini tp sm dia malah di bawa ke pangalengan,negatif,Kawah Putih
hhehhe y bgtu dehh😁😁,hhehhe y bgtu dehh,netral,Ranca Upas
sama kak aku jg waktu itu jd balik lgi ah..,sama kak aku jg waktu itu jd balik lgi ah,negatif,Gunung Puntang
iy btul ka udh masuk nya mahal jalan k dalem nya juga jauh bgt...,iy btul ka udh masuk nya mahal jalan k dalem nya juga jauh bgt,negatif,Kawah Putih
"iyaa kayaknya mau di pending dulu, walau niatnya mau ke sunan ibu sunrise point, tapi kan view danau kawah nya mempengaruhi hasil foto juga 😅",iyaa kayaknya mau di pending dulu walau niatnya mau ke sunan ibu sunrise point tapi kan view danau kawah nya mempengaruhi hasil foto juga,positif,Glamping Lakeside
mending nyuanki aja dl diciwideyna drpd ksitu🤣,mending nyuanki aja dl diciwideyna drpd ksitu,netral,Glamping Lakeside
minggu kemaren udah nyuangki nya di kebon teh rancabali 🤣,minggu kemaren udah nyuangki nya di kebon teh rancabali,netral,Kawah Putih
"kalau untuk sekarang ke wisata kawah, danau atau Curug itu tidak di rekomendasikan ka soalnya masih kekeringan 🙏",kalau untuk sekarang ke wisata kawah danau atau curug itu tidak di rekomendasikan ka soalnya masih kekeringan,positif,Situ Patenggang
rekomendasi untuk sekarang lebih ke pemandangan kebun teh seperti sunrise point cukul/ wayang windu😊,rekomendasi untuk sekarang lebih ke pemandangan kebun teh seperti sunrise point cukul wayang windu,positif,Ranca Upas
Kak kemarin gimana jadi ga? Masih kering?,kak kemarin gimana jadi ga masih kering,netral,Gunung Puntang
"gak jadi kak, aku pending dulu karena info info yang bilang kering..
tapi sekarang katanya uda mulai naik lagi airnya..
aku liat di official ig nya",gak jadi kak aku pending dulu karena info info yang bilang kering tapi sekarang katanya uda mulai naik lagi airnya aku liat di official ig nya,netral,Situ Patenggang
tgl 2 kemaren kesana kek gini,tgl kemaren kesana ancur gini,negatif,Situ Patenggang
"kering skrng, kan lagi kemarau😂😂. nti nyesel😂😂",kering skrng kan lagi kemarau nti nyesel,netral,Situ Patenggang
"mending ke talaga bodas di garut sih sama aja kayak kawah putih, mana murah lagi, aku bulan lalu kesana bagus banget",mending ke talaga bodas di garut sih sama aja kayak kawah putih mana murah lagi aku bulan lalu kesana bagus banget,positif,Kawah Putih
ibuku kmren bangt tgl 1 nov kesana kak emg kering kerontang bgt,ibuku kmren bangt tgl nov kesana kak emg kering kerontang bgt,netral,Situ Patenggang
baru banget ka mending cancel dulu karna gersang banget.,baru banget ka mending cancel dulu karna gersang banget,negatif,Ranca Upas
sy ke sana tgl 17 Okt...beneran airnya surut....🤭,sy ke sana tgl oktbeneran airnya surut,negatif,Kawah Putih
yang ada jembatan surut ka,yang ada jembatan surut ka,netral,Kawah Putih
yang surut yang ada jembatan nya,yang surut yang ada jembatan nya,netral,Glamping Lakeside
makasih infonya,makasih infonya,positif,Situ Patenggang
